Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.237-54.174.145.66-62709-443-6,10.0.0.237,62709,54.174.145.66,443,6,30/03/2025 07:10:14 p.m.,326806,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,8353.579799636482,36.71903208631421,29709.63636363636,41057.770161743385,88805.0,0.0,238001.0,59500.25,39667.940719385304,86543.0,608.0,240454.0,40075.66666666667,44188.01696689575,88981.0,0.0,0,0,0,0,112,152,15.29959670263092,21.419435383683286,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,11391,0,160,0,66,65535,180,3,20,0,0,0,0,1.743387014504288E15,97411.58659829151,1.743387014667594E15,1.743387014341155E15,No Label
10.0.0.237-54.174.145.66-62709-443-6,10.0.0.237,62709,54.174.145.66,443,6,30/03/2025 07:10:14 p.m.,1801,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,13325.930038867295,1665.7412548584118,900.5,47.37615433949868,934.0,867.0,1801.0,900.5,47.37615433949868,934.0,867.0,0,0,0,0,0,0,0,0,0,60,0,1665.7412548584118,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62710-443-6,10.0.0.237,62710,54.174.145.66,443,6,30/03/2025 07:10:15 p.m.,414593,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,6584.771088754514,28.944048741778083,37690.27272727273,54369.4220110733,132420.0,0.0,282173.0,70543.25,51561.10173619256,125061.0,759.0,289749.0,48291.5,56480.147810536044,132588.0,0.0,0,0,0,0,112,152,12.0600203090742,16.884028432703882,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,9453,0,160,0,66,65535,180,3,20,0,0,0,0,1.743387015552788E15,117322.41374623595,1.743387015761839E15,1.743387015347631E15,No Label
10.0.0.237-54.174.145.66-62710-443-6,10.0.0.237,62710,54.174.145.66,443,6,30/03/2025 07:10:15 p.m.,2109,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,11379.800853485063,1422.475106685633,1054.5,164.75588001646557,1171.0,938.0,2109.0,1054.5,164.75588001646557,1171.0,938.0,0,0,0,0,0,0,0,0,0,60,0,1422.475106685633,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62711-443-6,10.0.0.237,62711,54.174.145.66,443,6,30/03/2025 07:10:16 p.m.,315456,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,8654.138770541691,38.04017041996348,28677.81818181818,39568.47922732988,85043.0,0.0,230413.0,57603.25,38269.8739600311,83924.0,748.0,243849.0,40641.5,44672.049873494725,85220.0,0.0,0,0,0,0,112,152,15.850071008318116,22.190099411645363,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,11239,0,160,0,66,65535,121,3,20,0,0,0,0,1.7433870165082642E15,96501.63621696741,1.743387016669319E15,1.743387016354238E15,No Label
10.0.0.237-54.174.145.66-62711-443-6,10.0.0.237,62711,54.174.145.66,443,6,30/03/2025 07:10:16 p.m.,1553,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,15453.960077269801,1931.7450096587252,776.5,58.68986283848344,818.0,735.0,1553.0,776.5,58.68986283848344,818.0,735.0,0,0,0,0,0,0,0,0,0,60,0,1931.7450096587252,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62712-443-6,10.0.0.237,62712,54.174.145.66,443,6,30/03/2025 07:10:17 p.m.,319883,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,8534.370379169884,37.513715952395096,29080.272727272728,40174.63018396289,90275.0,0.0,229608.0,57402.0,37927.453240803465,80666.0,724.0,247367.0,41227.833333333336,45392.92710727814,90389.0,0.0,0,0,0,0,112,152,15.630714980164624,21.883000972230473,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,11079,0,160,0,66,65535,180,3,20,0,0,0,0,1.743387017519537E15,97082.89763862737,1.743387017685338E15,1.743387017365817E15,No Label
10.0.0.237-54.174.145.66-62712-443-6,10.0.0.237,62712,54.174.145.66,443,6,30/03/2025 07:10:17 p.m.,1768,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,13574.660633484162,1696.8325791855202,884.0,118.79393923933998,968.0,800.0,1768.0,884.0,118.79393923933998,968.0,800.0,0,0,0,0,0,0,0,0,0,60,0,1696.8325791855202,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62713-443-6,10.0.0.237,62713,54.174.145.66,443,6,30/03/2025 07:10:18 p.m.,318764,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,8564.32972355724,37.64540537827358,28978.545454545456,40063.522177571045,91514.0,0.0,227250.0,56812.5,37400.752795454086,75829.0,713.0,243841.0,40640.166666666664,44881.580054256854,91670.0,0.0,0,0,0,0,112,152,15.68558557428066,21.95981980399292,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,11238,0,160,0,66,65535,180,3,20,0,0,0,0,1.7433870185025512E15,95907.56302041034,1.743387018668144E15,1.743387018349751E15,No Label
10.0.0.237-54.174.145.66-62713-443-6,10.0.0.237,62713,54.174.145.66,443,6,30/03/2025 07:10:18 p.m.,1614,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,14869.888475836431,1858.736059479554,807.0,11.313708498984761,815.0,799.0,1614.0,807.0,11.313708498984761,815.0,799.0,0,0,0,0,0,0,0,0,0,60,0,1858.736059479554,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
34.238.103.59-10.0.0.237-443-62697-6,34.238.103.59,443,10.0.0.237,62697,6,30/03/2025 07:10:14 p.m.,5262053,14,13,2322.0,606.0,356.0,0.0,165.85714285714283,171.20876017435427,115.0,0.0,46.615384615384606,56.410014568246154,556.436812780107,5.131077167029675,202386.65384615387,332952.9361369792,997578.0,0.0,4737507.0,364423.6153846154,459014.6678490675,1084042.0,0.0,5261951.0,438495.91666666674,401957.1107015497,997578.0,10304.0,1,0,0,0,280,260,2.660558531052424,2.4705186359772506,0.0,356.0,117.28571428571429,145.8291382616573,21266.137566137564,1,0,0,18,27,0,0,0,0.0,121.62962962962963,165.85714285714286,46.61538461538461,0,0,0,0,18,618,0,86,0,22,198,251,11,20,0,0,0,0,1.743387016382388E15,1432297.641100817,1.743387018755236E15,1.74338701401767E15,No Label
34.238.103.59-10.0.0.237-443-62697-6,34.238.103.59,443,10.0.0.237,62697,6,30/03/2025 07:10:19 p.m.,0,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,0,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,198,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62714-443-6,10.0.0.237,62714,54.174.145.66,443,6,30/03/2025 07:10:19 p.m.,348370,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,7836.495679880586,34.44613485661796,31670.0,44410.73606010151,109736.0,0.0,238634.0,59658.5,39482.29338576978,82743.0,690.0,274343.0,45723.83333333333,51103.76046600354,109904.0,0.0,0,0,0,0,112,152,14.352556190257484,20.09357866636048,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,9984,0,160,0,66,65535,180,3,20,0,0,0,0,1.7433870195059405E15,104720.41675982914,1.743387019694097E15,1.743387019346111E15,No Label
