Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,100014947,9,7,384,11595,378,0,42.66666667,125.7656551,5792,0,1656.428571,2118.227235,119.7720977,0.159976088,6667663.133,25800000.0,99900000,1,99900000,12500000.0,35300000.0,99900000,1,152703,25450.5,55500.27073,138167,50,0,0,0,0,284,232,0.08998655,0.069989539,0,5792,704.6470588,1537.643527,2364347.618,0,0,0,0,1,0,0,0,0,748.6875,42.66666667,1656.428571,284,0,0,0,0,0,0,9,384,7,11595,251,235,2,20,1016.0,0.0,1016,1016,99900000.0,0.0,99900000,99900000
80,83580067,7,5,316,11595,310,0,45.14285714,116.812426,5792,0,2319.0,3170.403917,142.5100557,0.143574903,7598187.909,25200000.0,83500000,0,83500000,13900000.0,34100000.0,83500000,0,117379,29344.75,50238.6715,104152,86,0,0,0,0,220,168,0.083752027,0.059822876,0,5792,916.2307692,2165.593843,4689796.692,0,0,0,0,1,0,0,0,0,992.5833333,45.14285714,2319.0,220,0,0,0,0,0,0,7,316,5,11595,251,235,2,20,4002.0,0.0,4002,4002,83500000.0,0.0,83500000,83500000
80,98729774,7,6,383,11595,383,0,54.71428571,144.7603932,4344,0,1932.5,1754.831473,121.3210515,0.131672539,8227481.167,28500000.0,98700000,0,98700000,16400000.0,40300000.0,98700000,0,73521,14704.2,26033.77345,60181,48,0,0,0,0,232,200,0.070900598,0.060771941,0,4344,855.5714286,1459.798707,2131012.264,0,0,0,0,1,0,0,0,0,921.3846154,54.71428571,1932.5,232,0,0,0,0,0,0,7,383,6,11595,251,235,1,32,3.0,0.0,3,3,98700000.0,0.0,98700000,98700000
5000,61,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,131147.541,32786.88525,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,16393.44262,16393.44262,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,99735645,6,6,366,11595,366,0,61.0,149.4188743,4344,0,1932.5,1754.831473,119.9270331,0.120318067,9066876.818,30000000.0,99600000,1,99600000,19900000.0,44500000.0,99600000,1,148421,29684.2,60240.98751,137114,48,0,0,0,0,200,200,0.060159033,0.060159033,0,4344,920.0769231,1498.14944,2244451.744,0,0,0,0,1,0,0,0,1,996.75,61.0,1932.5,200,0,0,0,0,0,0,6,366,6,11595,251,235,1,32,4.0,0.0,4,4,99600000.0,0.0,99600000,99600000
5190,44,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,374292,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,31080.0124,24.04539771,46786.5,131969.8656,373395,16,609,304.5,361.3315652,560,49,374240,74848.0,166892.9997,373395,16,0,0,0,0,72,132,8.01513257,16.03026514,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
80,98710056,9,6,336,11595,336,0,37.33333333,112.0,5792,0,1932.5,2537.820147,120.8691443,0.151960202,7050718.286,26400000.0,98700000,1,98700000,12300000.0,34900000.0,98700000,1,1409,281.8,455.8044537,1083,2,0,0,0,0,296,200,0.091176121,0.060784081,0,5792,745.6875,1747.876644,3055072.763,0,0,0,0,1,0,0,0,0,795.4,37.33333333,1932.5,296,0,0,0,0,0,0,9,336,6,11595,251,235,1,32,1004.0,0.0,1004,1004,98700000.0,0.0,98700000,98700000
254,42,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,142857.1429,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,23809.52381,23809.52381,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,7050763,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.403886927,0.567314488,2350254.333,4069066.836,7048808,972,7050763,2350254.333,4069066.836,7048808,972,0,0.0,0.0,0,0,0,0,0,0,80,0,0.567314488,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1955.0,0.0,1955,1955,7048808.0,0.0,7048808,7048808
80,2,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0,0,0,64,0,1000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
